month,state_abbrev,positives,confirmed,deaths,tests,Employed total,Unemployed Total,population,Herd Immunity,Number of vaccines
Apr-20,NT,8,8,0,2432,132,9,249007,0.6,149404
May-20,NT,2,2,0,3688,130,9,249007,0.6,149404
Jun-20,NT,0,0,0,5087,128,7,249007,0.6,149404
Jul-20,NT,3,3,0,11231,126,10,248674,0.6,149204
Aug-20,NT,1,1,0,4936,1665,134,248674,0.6,149204
Sep-20,NT,2,2,0,9091,126,9,248674,0.6,149204
Oct-20,NT,1,1,0,10292,125,9,247649,0.6,148590
Nov-20,NT,1,1,0,11494,124,10,247649,0.6,148590
Dec-20,NT,0,0,0,12695,122,10,247649,0.6,148590
Jan-21,NT,0,0,0,13897,121,10,247830,0.6,148698
Feb-21,NT,0,0,0,15098,120,10,247729,0.6,148638
Mar-21,NT,0,0,0,16300,119,11,247629,0.6,148577
Jan-20,QLD,0,2,0,0,2523,181,5134624,0.6,3080774
Feb-20,QLD,0,7,0,0,2578,167,5134624,0.6,3080774
Mar-20,QLD,734,734,3,49382,2554,167,5134624,0.6,3080774
Apr-20,QLD,290,290,3,58755,2420,188,5152618,0.6,3091571
May-20,QLD,25,25,0,87300,2356,202,5152618,0.6,3091571
Jun-20,QLD,9,9,0,169544,2416,207,5152618,0.6,3091571
Jul-20,QLD,16,16,0,170863,2427,229,5173264,0.6,3103958
Aug-20,QLD,6,9,0,169778,1519,120,5173264,0.6,3103958
Sep-20,QLD,11,11,0,218477,2352,229,5173264,0.6,3103958
Oct-20,QLD,0,0,0,247427,2323,238,5190530,0.6,3114318
Nov-20,QLD,0,0,0,276377,2294,247,5190530,0.6,3114318
Dec-20,QLD,0,0,0,305327,2265,257,5190530,0.6,3114318
Jan-21,QLD,0,0,0,334277,2236,266,5201288,0.6,3120773
Feb-21,QLD,0,0,0,363227,2208,275,5207215,0.6,3124329
Mar-21,QLD,0,0,0,392177,2179,284,5213143,0.6,3127886
Jan-20,SA,0,0,0,0,836,54,1769904,0.6,1061943
Feb-20,SA,0,3,0,0,856,57,1769904,0.6,1061943
Mar-20,SA,334,334,0,27344,859,60,1769904,0.6,1061943
Apr-20,SA,101,101,4,30079,822,64,1773003,0.6,1063802
May-20,SA,2,2,0,42042,809,68,1773003,0.6,1063802
Jun-20,SA,3,3,0,51820,822,76,1773003,0.6,1063802
Jul-20,SA,7,7,0,86481,826,71,1777452,0.6,1066471
Aug-20,SA,9,10,0,67289,1795,151,1777452,0.6,1066471
Sep-20,SA,4,4,0,91104,811,78,1777452,0.6,1066471
Oct-20,SA,0,0,0,102876,806,82,1779942,0.6,1067965
Nov-20,SA,0,0,0,114648,800,85,1779942,0.6,1067965
Dec-20,SA,0,0,0,126419,795,89,1779942,0.6,1067965
Jan-21,SA,0,0,0,138191,790,92,1782145,0.6,1069287
Feb-21,SA,0,0,0,149963,784,96,1783233,0.6,1069940
Mar-21,SA,0,0,0,161734,779,99,1784321,0.6,1070592
Jan-20,TAS,0,0,0,0,255,17,539934,0.6,323960
Feb-20,TAS,0,0,0,0,261,15,539934,0.6,323960
Mar-20,TAS,69,69,2,0,258,14,539934,0.6,323960
Apr-20,TAS,154,154,10,11909,251,16,540907,0.6,324544
May-20,TAS,5,5,1,16738,240,16,540907,0.6,324544
Jun-20,TAS,0,0,0,20743,245,18,540907,0.6,324544
Jul-20,TAS,1,1,0,19515,251,17,541944,0.6,325167
Aug-20,TAS,1,1,0,7932,1222,116,541944,0.6,325167
Sep-20,TAS,10,10,0,21399,243,17,541944,0.6,325167
Oct-20,TAS,6,6,0,24020,241,18,543349,0.6,326009
Nov-20,TAS,2,2,0,26641,238,18,543349,0.6,326009
Dec-20,TAS,0,0,0,29262,236,19,543349,0.6,326009
Jan-21,TAS,0,0,0,31882,234,19,543841,0.6,326305
Feb-21,TAS,0,0,0,34503,232,19,544196,0.6,326518
